Date,Close,High,Low,Open,Volume,Adj Close
1/2/09,3046.75,3079.850098,3021.800049,3034.600098,0,3046.75
1/5/09,3121.449951,3131.949951,3056.449951,3058.75,0,3121.449951
1/6/09,3112.800049,3141.800049,3056.100098,3121.5,0,3112.800049
1/7/09,2920.399902,3147.199951,2888.199951,3112.800049,0,2920.399902
1/9/09,2873,2929.850098,2810.25,2919.949951,0,2873
1/12/09,2773.100098,2869.199951,2748.550049,2868.850098,0,2773.100098
1/13/09,2744.949951,2802.600098,2720.800049,2775,0,2744.949951
1/14/09,2835.300049,2853.25,2748.399902,2748.399902,0,2835.300049
1/15/09,2736.699951,2832.300049,2701.75,2832.300049,0,2736.699951
1/16/09,2828.449951,2835.649902,2724.199951,2737,0,2828.449951
1/19/09,2846.199951,2868.199951,2819.899902,2828.699951,0,2846.199951
1/20/09,2796.600098,2842.899902,2758,2842.899902,0,2796.600098
1/21/09,2706.149902,2787.300049,2690.199951,2777.399902,0,2706.149902
1/22/09,2713.800049,2744.850098,2681.399902,2714.699951,0,2713.800049
1/23/09,2678.550049,2765.550049,2661.649902,2705.449951,0,2678.550049
1/27/09,2771.350098,2777.300049,2685.25,2686.050049,0,2771.350098
1/28/09,2849.5,2855.399902,2765.600098,2771.100098,0,2849.5
1/29/09,2823.949951,2873.850098,2795.350098,2849.350098,0,2823.949951
1/30/09,2874.800049,2881,2774.100098,2824.050049,0,2874.800049
2/2/09,2766.649902,2873.449951,2760.699951,2872.350098,0,2766.649902
2/3/09,2783.899902,2831.699951,2752.899902,2773.5,0,2783.899902
2/4/09,2803.050049,2842.199951,2780.699951,2780.699951,0,2803.050049
2/5/09,2780.050049,2816.800049,2754.850098,2802.75,0,2780.050049
2/6/09,2843.100098,2852.5,2778.649902,2779.350098,0,2843.100098
2/9/09,2919.899902,2926.75,2840.149902,2843.050049,0,2919.899902
2/10/09,2934.5,2957.399902,2891.75,2919.699951,0,2934.5
2/11/09,2925.699951,2937.5,2877.600098,2933,0,2925.699951
2/12/09,2893.050049,2939,2886.550049,2927.399902,0,2893.050049
2/13/09,2948.350098,2969.75,2896.850098,2896.949951,0,2948.350098
2/16/09,2848.5,2953.199951,2839.100098,2948.25,0,2848.5
2/17/09,2770.5,2854.649902,2757.300049,2853.850098,0,2770.5
2/18/09,2776.149902,2806.5,2736.649902,2755.149902,0,2776.149902
2/19/09,2789.350098,2802.149902,2767.600098,2776.699951,0,2789.350098
2/20/09,2736.449951,2789.300049,2709.300049,2789.300049,0,2736.449951
2/24/09,2733.899902,2746.199951,2677.550049,2737.25,0,2733.899902
2/25/09,2762.5,2789.350098,2733.449951,2733.449951,0,2762.5
2/26/09,2785.649902,2797.800049,2731.899902,2762.199951,0,2785.649902
2/27/09,2763.649902,2787.199951,2708.449951,2785.699951,0,2763.649902
3/2/09,2674.600098,2764.600098,2659.550049,2764.600098,0,2674.600098
3/3/09,2622.399902,2688.5,2611.550049,2672.149902,0,2622.399902
3/4/09,2645.199951,2655.699951,2611.949951,2611.949951,0,2645.199951
3/5/09,2576.699951,2663.899902,2564.100098,2645.899902,0,2576.699951
3/6/09,2620.149902,2628.100098,2539.449951,2576.75,0,2620.149902
3/9/09,2573.149902,2621.25,2555.600098,2620.100098,0,2573.149902
3/12/09,2617.449951,2646.100098,2574.5,2574.5,0,2617.449951
3/13/09,2719.25,2726.149902,2616.600098,2616.600098,0,2719.25
3/16/09,2777.25,2781.949951,2701.949951,2716.050049,0,2777.25
3/17/09,2757.449951,2805.600098,2738.699951,2776.350098,0,2757.449951
3/18/09,2794.699951,2836.050049,2752.25,2757.649902,0,2794.699951
3/19/09,2807.149902,2822.25,2771.350098,2797.050049,0,2807.149902
3/20/09,2807.050049,2816.100098,2773.649902,2807.350098,0,2807.050049
3/23/09,2939.899902,2949.75,2807.25,2807.25,0,2939.899902
3/24/09,2938.699951,3017.399902,2914.5,2923.800049,0,2938.699951
3/25/09,2984.350098,2996.5,2923.300049,2938.800049,0,2984.350098
3/26/09,3082.25,3103.350098,2982.25,2982.25,0,3082.25
3/27/09,3108.649902,3123.350098,3055.899902,3079.399902,0,3108.649902
3/30/09,2978.149902,3110.199951,2962.399902,3108.75,0,2978.149902
3/31/09,3020.949951,3054.300049,2966.399902,2981.699951,0,3020.949951
4/1/09,3060.350098,3069.300049,2965.699951,3023.850098,0,3060.350098
4/2/09,3211.050049,3228.75,3061.050049,3061.050049,0,3211.050049
4/6/09,3256.600098,3303.899902,3211.350098,3211.350098,0,3256.600098
4/8/09,3342.949951,3357.050049,3149.25,3255.350098,0,3342.949951
4/9/09,3342.050049,3401.149902,3307.050049,3346,0,3342.050049
4/13/09,3382.600098,3417.800049,3334.149902,3342.199951,0,3382.600098
4/15/09,3484.149902,3497.550049,3311.800049,3381.449951,0,3484.149902
4/16/09,3369.5,3511.25,3354.199951,3484.350098,0,3369.5
4/17/09,3384.399902,3489.850098,3359.25,3369.5,0,3384.399902
4/20/09,3377.100098,3441.100098,3339.449951,3384.75,0,3377.100098
4/21/09,3365.300049,3414.699951,3309.350098,3376.850098,0,3365.300049
4/22/09,3330.300049,3401.100098,3296.899902,3364.600098,0,3330.300049
4/23/09,3423.699951,3439.899902,3310.5,3330.5,0,3423.699951
4/24/09,3480.75,3491.350098,3402.899902,3423.600098,0,3480.75
4/27/09,3470,3517.25,3435.300049,3481.300049,0,3470
4/28/09,3362.350098,3471.949951,3351.5,3469.5,0,3362.350098
4/29/09,3473.949951,3486.399902,3366.699951,3371.649902,0,3473.949951
5/4/09,3654,3664.5,3478.699951,3478.699951,0,3654
5/5/09,3661.899902,3682.199951,3618.75,3664.5,0,3661.899902
5/6/09,3625.050049,3717.050049,3608.649902,3662,0,3625.050049
5/7/09,3683.899902,3692.050049,3617.149902,3617.149902,0,3683.899902
5/8/09,3620.699951,3711.25,3582.850098,3681.800049,0,3620.699951
5/11/09,3554.600098,3660.199951,3534.550049,3615.75,0,3554.600098
5/12/09,3681.100098,3691.649902,3534.199951,3554.649902,0,3681.100098
5/13/09,3635.25,3709.600098,3610.199951,3668.75,0,3635.25
5/14/09,3593.449951,3631.899902,3537.600098,3631.899902,0,3593.449951
5/15/09,3671.649902,3686.25,3597.850098,3597.850098,0,3671.649902
5/18/09,4323.149902,4384.299805,3673.149902,3673.149902,0,4323.149902
5/19/09,4318.450195,4509.399902,4167.649902,4324.950195,0,4318.450195
5/20/09,4270.299805,4362.850098,4244.700195,4318.75,0,4270.299805
5/21/09,4210.899902,4319,4199.200195,4270.350098,0,4210.899902
5/22/09,4238.5,4249.5,4155.850098,4211.850098,0,4238.5
5/25/09,4237.549805,4270.049805,4205.100098,4238.100098,0,4237.549805
5/26/09,4116.700195,4256.049805,4092.25,4239.549805,0,4116.700195
5/27/09,4276.049805,4286.450195,4115.25,4117.299805,0,4276.049805
5/28/09,4337.100098,4354.850098,4254.850098,4276.149902,0,4337.100098
5/29/09,4448.950195,4488.049805,4340.75,4340.75,0,4448.950195
6/1/09,4529.899902,4545.399902,4450.399902,4450.399902,0,4529.899902
6/2/09,4525.25,4586.399902,4451.299805,4530.450195,0,4525.25
6/3/09,4530.700195,4574.899902,4478.600098,4525.5,0,4530.700195
6/4/09,4572.649902,4582.200195,4453.450195,4530.299805,0,4572.649902
6/5/09,4586.899902,4636.850098,4561.950195,4573.299805,0,4586.899902
6/8/09,4429.899902,4611.399902,4404.649902,4582.350098,0,4429.899902
6/9/09,4550.950195,4562.450195,4365.100098,4427.75,0,4550.950195
6/10/09,4655.25,4688.950195,4551.700195,4551.700195,0,4655.25
6/11/09,4637.700195,4679.549805,4586.149902,4657.399902,0,4637.700195
6/12/09,4583.399902,4693.200195,4566.149902,4637.549805,0,4583.399902
6/15/09,4484,4601.049805,4469.600098,4584.649902,0,4484
6/16/09,4517.799805,4537.950195,4405.950195,4478.100098,0,4517.799805
6/17/09,4356.149902,4517.799805,4332.799805,4515.350098,0,4356.149902
6/18/09,4251.399902,4375.299805,4222.149902,4352.950195,0,4251.399902
6/19/09,4313.600098,4326.200195,4206.700195,4251.100098,0,4313.600098
6/22/09,4235.25,4352.25,4221.899902,4314.200195,0,4235.25
6/23/09,4247,4267.450195,4143.25,4223.299805,0,4247
6/24/09,4292.950195,4307,4218.25,4247.299805,0,4292.950195
6/25/09,4241.850098,4337.950195,4221.149902,4293.850098,0,4241.850098
6/26/09,4375.5,4383.75,4243.950195,4243.950195,0,4375.5
6/29/09,4390.950195,4439.950195,4350.899902,4375.399902,0,4390.950195
6/30/09,4291.100098,4426.75,4267.350098,4391.5,0,4291.100098
7/1/09,4340.899902,4362.299805,4249.700195,4292.299805,0,4340.899902
7/2/09,4348.850098,4383.649902,4288.75,4373.5,0,4348.850098
7/3/09,4424.25,4434.450195,4298.950195,4347.299805,0,4424.25
7/6/09,4165.700195,4479.799805,4133.700195,4429.600098,0,4165.700195
7/7/09,4202.149902,4231.799805,4155.5,4166,0,4202.149902
7/8/09,4078.899902,4201.850098,4061.100098,4201.850098,0,4078.899902
7/9/09,4080.949951,4114.899902,4039.850098,4078.75,0,4080.949951
7/10/09,4003.899902,4129.950195,3976.800049,4081.399902,0,4003.899902
7/13/09,3974.050049,4003.399902,3918.75,4003.399902,0,3974.050049
7/14/09,4111.399902,4128.899902,3974.100098,3974.100098,0,4111.399902
7/15/09,4233.5,4249.549805,4118.75,4120.799805,0,4233.5
7/16/09,4231.399902,4305,4205.5,4223.5,0,4231.399902
7/17/09,4374.950195,4390.399902,4230.149902,4231.450195,0,4374.950195
7/20/09,4502.25,4510.299805,4377.899902,4377.899902,0,4502.25
7/21/09,4469.100098,4524,4436.600098,4501.5,0,4469.100098
7/22/09,4398.899902,4557.950195,4380.450195,4469.299805,0,4398.899902
7/23/09,4523.75,4532.399902,4405.950195,4409.700195,0,4523.75
7/24/09,4568.549805,4578.75,4504.850098,4524.799805,0,4568.549805
7/27/09,4572.299805,4596.75,4528.5,4568.649902,0,4572.299805
7/28/09,4564.100098,4599.899902,4529.149902,4572.799805,0,4564.100098
7/29/09,4513.5,4573.850098,4420.799805,4565.799805,0,4513.5
7/30/09,4571.450195,4582.350098,4474.5,4513.100098,0,4571.450195
7/31/09,4636.450195,4669.75,4571.600098,4571.600098,0,4636.450195
8/3/09,4711.399902,4723.75,4617.75,4633.799805,0,4711.399902
8/4/09,4680.5,4731.450195,4642.600098,4706.25,0,4680.5
8/5/09,4694.149902,4717.200195,4629.850098,4680.950195,0,4694.149902
8/6/09,4585.5,4718.149902,4559.200195,4694.350098,0,4585.5
8/7/09,4481.399902,4591.899902,4463.950195,4591.899902,0,4481.399902
8/10/09,4437.649902,4562.5,4399.850098,4486.5,0,4437.649902
8/11/09,4471.350098,4510.799805,4398.899902,4435,0,4471.350098
8/12/09,4457.5,4473.799805,4359.399902,4473.799805,0,4457.5
8/13/09,4605,4614.149902,4458.549805,4458.549805,0,4605
8/14/09,4580.049805,4619,4559.350098,4605.149902,0,4580.049805
8/17/09,4387.899902,4578.799805,4374.600098,4578.799805,0,4387.899902
8/18/09,4458.899902,4491.450195,4372.649902,4389.5,0,4458.899902
8/19/09,4394.100098,4477.549805,4353.450195,4457.75,0,4394.100098
8/20/09,4453.450195,4492.799805,4394.350098,4394.350098,0,4453.450195
8/21/09,4528.799805,4538.700195,4400.899902,4453.450195,0,4528.799805
8/24/09,4642.799805,4656.299805,4536.950195,4536.950195,0,4642.799805
8/25/09,4659.350098,4672.899902,4582.5,4641.649902,0,4659.350098
8/26/09,4680.850098,4697.799805,4659.100098,4659.450195,0,4680.850098
8/27/09,4688.200195,4707.899902,4645.149902,4679,0,4688.200195
8/28/09,4732.350098,4743.75,4651.399902,4688.399902,0,4732.350098
8/31/09,4662.100098,4730.850098,4635,4730.850098,0,4662.100098
9/1/09,4625.350098,4735.899902,4600.649902,4662.200195,0,4625.350098
9/2/09,4608.350098,4650.450195,4576.600098,4624,0,4608.350098
9/3/09,4593.549805,4647.350098,4581.049805,4608.75,0,4593.549805
9/4/09,4680.399902,4697.200195,4580.350098,4608.700195,0,4680.399902
9/7/09,4782.899902,4790,4679.299805,4682.399902,0,4782.899902
9/8/09,4805.25,4842.200195,4782.649902,4782.850098,0,4805.25
9/9/09,4814.25,4825.049805,4783.5,4804.899902,0,4814.25
9/10/09,4819.399902,4889.049805,4807.899902,4814.350098,0,4819.399902
9/11/09,4829.549805,4856.149902,4791.549805,4819.399902,0,4829.549805
9/14/09,4808.600098,4832.25,4786.25,4830.350098,0,4808.600098
9/15/09,4892.100098,4899.450195,4808.350098,4808.350098,0,4892.100098
9/16/09,4958.399902,4966.299805,4894.649902,4894.649902,0,4958.399902
9/17/09,4965.549805,5003.049805,4944.149902,4958.549805,0,4965.549805
9/18/09,4976.049805,4980.850098,4931.899902,4963.950195,0,4976.049805
9/22/09,5020.200195,5036.299805,4977.100098,4977.100098,0,5020.200195
9/23/09,4969.950195,5030.75,4957.049805,5019.950195,0,4969.950195
9/24/09,4986.549805,5016.700195,4904.049805,4977.149902,0,4986.549805
9/25/09,4958.950195,4994.350098,4931.25,4985.100098,0,4958.950195
9/29/09,5006.850098,5020.25,4959.100098,4959.149902,0,5006.850098
9/30/09,5083.950195,5087.600098,5004.350098,5007.649902,0,5083.950195
10/1/09,5083.399902,5110.5,5057.049805,5087.200195,0,5083.399902
10/5/09,5003.200195,5076.049805,4991.950195,5076.049805,0,5003.200195
10/6/09,5027.399902,5034.700195,4921.049805,5003.649902,0,5027.399902
10/7/09,4985.75,5077,4972.950195,5031.700195,0,4985.75
10/8/09,5002.25,5035.100098,4980.700195,5011.25,0,5002.25
