Date,Close,High,Low,Open,Volume,Adj Close
1/5/09,1880.715942,1880.715942,1844.093994,1849.02002,67200,1880.715942
1/6/09,1937.14502,1938.689941,1871.970947,1878.827026,99000,1937.14502
1/7/09,1924.011963,1948.233032,1920.515015,1938.973999,92400,1924.011963
1/8/09,1878.18103,1894.171021,1862.262939,1890.241943,80400,1878.18103
1/9/09,1904.860962,1909.348999,1875.16394,1875.16394,71200,1904.860962
1/12/09,1900.347046,1924.44104,1886.833008,1897.703003,83600,1900.347046
1/13/09,1863.366943,1888.30896,1861.811035,1880.868042,73800,1863.366943
1/14/09,1928.869019,1929.276001,1862.30896,1862.310059,88000,1928.869019
1/15/09,1920.206055,1937.728027,1902.541992,1912.771973,116000,1920.206055
1/16/09,1954.437988,1984.728027,1928.921997,1928.921997,133000,1954.437988
1/19/09,1986.671997,2018.51001,1966.187988,1971,109400,1986.671997
1/20/09,1994.107056,1994.80896,1956.102051,1981.146973,74600,1994.107056
1/21/09,1985.015991,2007.911011,1960.529053,1965.94397,87200,1985.015991
1/22/09,2004.95105,2009.850952,1980.437988,1996.08606,88200,2004.95105
1/23/09,1990.656982,2008.787964,1986.348022,2001.171997,86000,1990.656982
2/2/09,2011.682983,2012.741943,1987.129028,2008.134033,84800,2011.682983
2/3/09,2060.808105,2060.925049,2005.021973,2011.77002,134400,2060.808105
2/4/09,2107.749023,2108.25708,2067.785889,2068.085938,151800,2107.749023
2/5/09,2098.018066,2149.476074,2082.595947,2106.834961,165400,2098.018066
2/6/09,2181.239014,2185.085938,2102.077881,2102.077881,160800,2181.239014
2/9/09,2224.714111,2238.894043,2196.708008,2211.316895,192400,2224.714111
2/10/09,2265.160889,2266.397949,2197.00708,2218.489014,172600,2265.160889
2/11/09,2260.820068,2305.705078,2218.297119,2230.48999,209400,2260.820068
2/12/09,2248.091064,2274.200928,2191.886963,2265.789063,174000,2248.091064
2/13/09,2320.791992,2323.120117,2236.177979,2249.185059,199800,2320.791992
2/16/09,2389.386963,2389.87793,2328.178955,2338.758057,211400,2389.386963
2/17/09,2319.440918,2402.806885,2316.934082,2387.354004,198200,2319.440918
2/18/09,2209.862061,2295.740967,2206.062012,2271.26001,162400,2209.862061
2/19/09,2227.125,2247.615967,2190.4729,2224.48999,129800,2227.125
2/20/09,2261.478027,2262.332031,2206.210938,2234.36499,129000,2261.478027
2/23/09,2305.7771,2313.593994,2219.714111,2249.289063,160200,2305.7771
2/24/09,2200.654053,2295.590088,2193.268066,2273.754883,183800,2200.654053
2/25/09,2206.573975,2234.018066,2142.601074,2222.506104,152400,2206.573975
2/26/09,2121.250977,2237.547119,2102.345947,2201.672119,148600,2121.250977
2/27/09,2082.852051,2123.243896,2064.917969,2100.062988,123000,2082.852051
3/2/09,2093.447021,2102.112061,2052.991943,2066.229004,87400,2093.447021
3/3/09,2071.430908,2088.62793,2037.024048,2047.213013,97800,2071.430908
3/4/09,2198.106934,2201.727051,2076.615967,2076.615967,154800,2198.106934
3/5/09,2221.075928,2241.760986,2173.490967,2220.149902,182400,2221.075928
3/6/09,2193.00708,2221.040039,2171.667969,2180.788086,123800,2193.00708
3/9/09,2118.748047,2232.674072,2116.452881,2205.746094,124400,2118.748047
3/10/09,2158.568115,2159.268066,2088.162109,2097.138916,84000,2158.568115
3/11/09,2139.024902,2203.533936,2133.141113,2199.98291,103800,2139.024902
3/12/09,2133.881104,2136.794922,2086.018066,2127.726074,87200,2133.881104
3/13/09,2128.8479,2166.021973,2124.979004,2148.417969,83600,2128.8479
3/16/09,2153.291016,2158.899902,2108.612061,2122.407959,73400,2153.291016
3/17/09,2218.325928,2225.191895,2151.775879,2156.773926,130800,2218.325928
3/18/09,2223.725098,2255.009033,2221.587891,2227.980957,147000,2223.725098
3/19/09,2265.759033,2268.144043,2220.164063,2227.343994,145800,2265.759033
3/20/09,2281.086914,2294.116943,2250.405029,2272.437012,150600,2281.086914
3/23/09,2325.47998,2329.183105,2276.810059,2286.246094,160000,2325.47998
3/24/09,2338.419922,2369.454102,2327.429932,2359.678955,162800,2338.419922
3/25/09,2291.554932,2355.689941,2291.358887,2333.163086,144800,2291.554932
3/26/09,2361.704102,2362.048096,2274.89502,2296.047119,158600,2361.704102
3/27/09,2374.437988,2392.769043,2361.091064,2380.625977,186600,2374.437988
3/30/09,2358.040039,2380.194092,2348.5271,2377.964111,139800,2358.040039
3/31/09,2373.212891,2375.711914,2299.157959,2313.883057,142600,2373.212891
4/1/09,2408.01709,2422.625,2380.979004,2380.979004,179800,2408.01709
4/2/09,2425.291016,2450.00293,2417.111084,2417.217041,188400,2425.291016
4/3/09,2419.778076,2456.811035,2406.496094,2446.124023,170200,2419.778076
4/7/09,2439.181885,2449.537109,2407.506104,2422.100098,124200,2439.181885
4/8/09,2347.38501,2435.387939,2346.537109,2429.878906,146800,2347.38501
4/9/09,2379.875977,2380.935059,2331.876953,2345.009033,113200,2379.875977
4/10/09,2444.226074,2444.980957,2392.800049,2400.013916,157400,2444.226074
4/13/09,2513.700928,2522.445068,2464.061035,2468.083008,191400,2513.700928
4/14/09,2527.180908,2532.089111,2495.336914,2512.009033,165200,2527.180908
4/15/09,2536.055908,2542.540039,2485.926025,2514.591064,181000,2536.055908
4/16/09,2534.134033,2549.312012,2497.12207,2542.335938,186200,2534.134033
4/17/09,2503.935059,2539.352051,2481.898926,2524.625977,161600,2503.935059
4/20/09,2557.456055,2559.035889,2497.321045,2500.173096,148000,2557.456055
4/21/09,2535.827881,2552.5979,2499.601074,2523.261963,164600,2535.827881
4/22/09,2461.345947,2579.218018,2449.89502,2548.10498,194000,2461.345947
4/23/09,2463.954102,2474.145996,2422.789063,2440.676025,126200,2463.954102
4/24/09,2448.594971,2481.5271,2445.664063,2477.156006,113800,2448.594971
4/27/09,2405.3479,2452.927979,2393.162109,2443.436035,113000,2405.3479
4/28/09,2401.437988,2411.437988,2372.343018,2382.884033,94800,2401.437988
4/29/09,2468.191895,2477.725098,2395.48291,2401.657959,126600,2468.191895
4/30/09,2477.569092,2491.072021,2461.36499,2477.927979,131200,2477.569092
5/4/09,2559.910889,2560.543945,2486.225098,2486.685059,153400,2559.910889
5/5/09,2567.336914,2590.775879,2552.389893,2577.428955,158400,2567.336914
5/6/09,2592.52002,2596.925049,2552.63208,2563.563965,160800,2592.52002
5/7/09,2597.447021,2622.112061,2566.121094,2612.123047,181800,2597.447021
5/8/09,2625.64502,2634.061035,2574.572021,2586.759033,162000,2625.64502
5/11/09,2579.74707,2663.949951,2579.74707,2646.287109,178200,2579.74707
5/12/09,2618.172119,2619.691895,2558.962891,2562.363037,123000,2618.172119
5/13/09,2663.766113,2670.212891,2608.316895,2629.031006,145800,2663.766113
5/14/09,2639.886963,2651.488037,2610.2229,2631.445068,124800,2639.886963
5/15/09,2645.262939,2661.365967,2623.364014,2646.891113,110800,2645.262939
5/18/09,2652.779053,2656.843994,2589.613037,2632.569092,119000,2652.779053
5/19/09,2676.681885,2688.112061,2660.560059,2679.395996,147400,2676.681885
5/20/09,2651.414063,2686.344971,2651.010986,2680.547119,138200,2651.414063
5/21/09,2610.62207,2663.227051,2598.868896,2639.141113,139000,2610.62207
5/22/09,2597.601074,2617.749023,2578.593018,2595.988037,99200,2597.601074
5/25/09,2610.01001,2618.358887,2538.62207,2555.342041,112000,2610.01001
5/26/09,2588.574951,2618.800049,2585.909912,2615.006104,114600,2588.574951
5/27/09,2632.929932,2635.312988,2592.793945,2601.23999,103200,2632.929932
6/1/09,2721.280029,2726.716064,2668.399902,2668.399902,148000,2721.280029
6/2/09,2724.302002,2750.879883,2713.466064,2739.441895,156400,2724.302002
6/3/09,2778.589111,2778.683105,2717.863037,2722.266113,155600,2778.589111
6/4/09,2767.243896,2778.241943,2728.198975,2753.248047,170800,2767.243896
6/5/09,2753.891113,2791.648926,2750.376953,2783.858887,146600,2753.891113
6/8/09,2768.335938,2795.148926,2729.028076,2753.344971,133200,2768.335938
6/9/09,2787.886963,2788.365967,2721.854004,2766.51001,132600,2787.886963
6/10/09,2816.24707,2820.574951,2789.996094,2796.903076,145200,2816.24707
6/11/09,2797.320068,2828.739014,2787.448975,2812.279053,134200,2797.320068
